TreeID,qSpecies,qAddress,qSiteInfo,DBH,PlotSize,Latitude,Longitude
24810,Pyrus kawakamii :: Evergreen Pear,2412 Fillmore St,Sidewalk: Curb side : Cutout,6,3X3,37.79180899,-122.4343475
7367,Ficus macrophylla :: Morton Bay Fig,2400 Fillmore St,Sidewalk: Curb side : Cutout,20,3X3,37.79182365,-122.4341861
7965,Pittosporum undulatum :: Victorian Box,1856 Franklin St,Sidewalk: Curb side : Cutout,1,3X3,37.79183895,-122.4241559
113401,Magnolia grandiflora :: Southern Magnolia,1620 Polk St,Sidewalk: Curb side : Cutout,4,3x3,37.79184318,-122.4208631
13518,Platanus x hispanica :: Sycamore: London Plane,388 Market St,Sidewalk: Curb side : Cutout,25,4x4,37.79187674,-122.398261
9923,Pittosporum crassifolium :: Karo Tree,2000 Gough St,Sidewalk: Curb side : Cutout,6,3x3,37.79188742,-122.42592
136073,Pyrus calleryana :: Ornamental Pear,2411 Fillmore St,Sidewalk: Curb side : Cutout,7,Width 4ft,37.79189516,-122.4345207
23411,Pittosporum undulatum :: Victorian Box,1755 Van Ness Ave,Sidewalk: Curb side : Cutout,12,3X3,37.79194271,-122.4224662
24812,Pyrus calleryana :: Ornamental Pear,2425 Fillmore St,Sidewalk: Curb side : Cutout,5,3X3,37.79198791,-122.4345463
7371,Pyrus calleryana :: Ornamental Pear,2430 Fillmore St,Sidewalk: Curb side : Cutout,3,3X3,37.79204301,-122.4343976
194307,Phoenix canariensis :: Canary Island Date Palm,200x The Embarcadero,Median : Cutout,25,Width 5ft,37.79206186,-122.3906984
7966,Ligustrum lucidum :: Glossy Privet,1901 Franklin St,Sidewalk: Curb side : Cutout,12,3X3,37.79228136,-122.4244966
7969,Ligustrum lucidum :: Glossy Privet,1920 Franklin St,Sidewalk: Curb side : Cutout,18,3X3,37.79230163,-122.4243251
7374,Ficus nitida :: Laurel Fig,2498 Fillmore St,Sidewalk: Curb side : Cutout,12,5x5,37.7923152,-122.434441
23416,Platanus x hispanica :: Sycamore: London Plane,1801 Van Ness Ave,Sidewalk: Curb side : Cutout,12,3X3,37.7923979,-122.4228905
